SMILES,density(g/cm3),1E,1w,1D,2D,4D
C([*])C=C(C(C)(C)(C))C([*]),0.9,-25.27343299,112.1252005,0.574,0.6188,0.6786
C([*])C([*])(C1=C(C)C=CC=C1),1.01,-25.38368442,120.0939004,0.7009,0.7423,0.8005
C([*])C([*])(c1ccccc1CC),0.99,-28.5472208,134.212,0.6532,0.7317,0.7891
C([*])C([*])(c1ccccc1COCC),1.03,-35.76896664,164.1201151,0.6997,0.773,0.8315
C([*])C([*])(c1ccccc1COCCCC),1,-42.09795021,192.1514153,0.6861,0.7592,0.8021
C([*])C=CC([*])(C),0.92,-15.776335,70.07825032,0.5557,0.5628,0.6165
C([*])C=CC([*]),0.93,-12.612393,56.06260026,0.5376,0.5513,0.62
C([*])C([*])(C=C),0.93,-12.606043,56.06260026,0.4586,0.5664,0.6314
C([*])=CCCC([*]),0.92,-15.77058374,70.13,0.5061,0.5741,0.6458
C([*])=CCCCCCCCCCCCCCCCC([*]),0.88,-18.9349356,252.2817012,0.5242,0.6538,0.6872
C([*])=CCCCC([*]),0.91,-18.93773326,84.09390038,0.5551,0.5874,0.6443
C([*])C([*])(CCCCC),0.87,-23.15756444,100.1252005,0.5068,0.5646,0.6151
C([*])(CC)=CCC([*]),0.91,-18.9377708,84.09390038,0.5352,0.5899,0.6455
C([*])/C=C(C)C([*]),0.92,-15.780324,70.07825032,0.4977,0.5789,0.6442
C([*])(C=C1)=CC(C(C)=C2)=C1C=C2([*]),1.11,-28.643942,142.0782503,0.7345,0.8649,0.8955
*C/C=C\C*,0.9,-12.609319,56.06260026,0.4825,0.5671,0.6425
C([*])C([Cl])=CC([*]),1.25,-16.665495,90.0236279,0.8761,0.9005,1.0226
C([*])([Cl])([Cl])C([*]),1.71,-15.419555,97.96900549,1.1383,1.5513,1.7901
C([*])([Cl])C([*]),1.4,-11.378047,64.00797784,0.7086,1.0284,1.152
C([*])C([*])(C1=CC=C([Cl])C=C1),1.35,-26.26765904,140.039278,0.9764,1.0153,1.088
C([*])C([*])(c1ccc(Cl)c(C)c1),1.1,-29.43887589,154.054928,0.9164,0.9584,1.0299
C([*])C([*])(c1ccc(Cl)cc1C),1.15,-29.43716646,154.054928,0.8469,0.9831,1.055
C([*])C([*])(c1ccc(Cl)c(Cl)c1),1.15,-30.316561,172.144,1.1288,1.2732,1.39
C([*])C([*])(c1cccc(Cl)c1),1.34,-26.268118,140.039278,0.7346,1.0162,1.092
C([*])C([*])(c1cc(Cl)ccc1Cl),1.34,-30.319002,174.0003056,1.0531,1.2693,1.3733
C([*])C([*])(c1ccc(Cl)cc1Cl),1.34,-30.31864064,174.0003056,1.1512,1.2495,1.3625
C([*])C([*])(C1=C([Cl])C=CC=C1),1.34,-26.26765138,140.039278,0.814,0.9982,1.0683
C([*])C(C=C1)=C([Cl])C=C1C([*]),1.1,-26.274656,140.039278,0.9233,0.9702,1.0549
C([*])C([*])(SCCC),1.04,-20.06556279,104.0659714,0.6643,0.7166,0.77
C([*])C([*])(SCC),1.1,-16.90098898,90.05032132,0.6431,0.7385,0.8109
C([*])C([*])(SCCCC),1,-23.23078108,118.0816214,0.5927,0.7087,0.7648
C([*])C([*])(c1ccc(C(=O)OCCN(C)C)cc1),1.1,-48.59040568,221.1415788,0.7707,0.8544,0.9008
C([*])C([*])(c1ccccc1C(=O)OCCN(C)C),1.1,-48.58750076,221.1415788,0.7755,0.8606,0.9072
C([*])C([*])(OC(=O)CCCC),1.07,-30.28058552,130.0993797,0.6706,0.7497,0.8064
C([*])C([*])(N1CCCC1(=O)),1.11,-25.480169,113.084064,0.7079,0.8222,0.8857
C([*])C([*])(OC(=O)CC),1.15,-23.9509575,102.0680796,0.6912,0.7893,0.8586
C([*])C([*])(SC1=CC=CC=C1),1.15,-25.45366466,138.0503213,0.8047,0.9056,0.9815
C([*])C([*])(OC=O),1.34,-17.611532,74.03677943,0.763,0.9183,1.0421
C([*])C([*])(OC(=O)C[Cl]),1.46,-24.820467,122.0134571,1.012,1.1714,1.279
C([*])C([*])(N3C1=CC=CC=C1C2=CC=CC=C23),1.13,-39.55980158,195.1047994,0.8347,0.9237,0.9886
C([*])C([*])(OC(=O)CCCCC),1.05,-33.44459046,144.1150298,0.6683,0.7521,0.7842
C([*])C([*])(OC(=O)CCC),1.11,-27.11609041,116.0837296,0.6785,0.7528,0.8212
C([*])C([*])(OC(=O)C1=CC=CC=C1),1.22,-32.50100336,150.0680796,0.8306,0.9199,1.0086
C([*])C([*])(OC(=O)C),1.22,-20.78757109,88.0524295,0.7228,0.8366,0.9139
C([*])CCCC(=O)OCCCCOC([*])(=O),1.15,-46.88680335,202.1205091,0.8046,0.8839,0.9393
C([*])C(C)C([*])(=O),1.12,-16.6863894,72.05751488,0.6408,0.7325,0.7881
*CC(*)C,0.87,-10.500828,44.06260026,0.429,0.503,0.5646
C([*])C([*])(Cl)(CC(=O)OCCC),1.22,-34.3262899,164.0604073,0.8494,0.9534,1.0185
C([*])C([*])(SC),1.19,-13.73674199,76.03467126,0.6648,0.77,0.8413
C([*])C([*])([Cl])(OC(=O)C),1.46,-24.832727,122.0134571,0.993,1.1532,1.2752
C([*])(CC(C)C)C([*]),0.87,-19.99467084,86.10955045,0.5057,0.564,0.6049
C([*])CC([*])(=O),1.2,-13.520296,58.04186481,0.6586,0.7761,0.8586
C([*])C([*])(C1=CC=C(C2=CC=CC=C2)C=C1),1.08,-37.10195254,182.1095504,0.7564,0.8444,0.8969
C([*])C([*])(c1ccc(C(=O)OCC(C)C)cc1),1.09,-45.16833615,206.1306798,0.7516,0.8292,0.8749
C([*])C([*])(c1ccc(C(=O)OCCCCCC)cc1),1.05,-51.49527878,234.1619799,0.7376,0.8106,0.856
C([*])C([*])(c1ccc(C(=O)CCCCC)cc1),1.03,-44.23971149,204.1514153,0.7117,0.7849,0.8269
C([*])C([*])(c1ccc(C(=O)OCC)cc1),1.14,-38.83696759,178.0993797,0.7847,0.8632,0.9173
C([*])C([*])(c1ccc(C(=O)N(C)C)cc1),1.11,-38.201969,177.1153641,0.7537,0.8325,0.8974
C([*])C([*])(c1ccc(C(=O)N(CC)CC)cc1),1.07,-44.53476457,205.1466642,0.7319,0.8097,0.8479
C([*])C([*])(c1ccc(C(=O)CCC)cc1),1.06,-37.91098094,176.1201151,0.7308,0.8097,0.8495
C([*])C([*])(c1ccc(C(=O)OCCCC)cc1),1.09,-45.16606829,206.1306798,0.7532,0.8269,0.8723
C([*])C([*])(c2ccc(C(=O)c1ccccc1)cc2),1.15,-43.296638,210.1044651,0.8348,0.9325,0.9891
C([*])C([*])(c1ccc(C(C)=O)cc1),1.12,-31.583042,148.088815,0.7626,0.8663,0.9155
C([*])C([*])(c1cc(C(C)C)ccc1C(C)C),0.95,-41.20930731,190.1721507,0.6476,0.7134,0.7628
*C(C1=CC=CC=N1)C*,1.12,-22.487017,107.0734993,0.7028,0.7931,0.866
C([*])C([*])(C1=C(OC)C=CC=C1),1.06,-29.447336,136.088815,0.709,0.8164,0.8786
C([*])C([*])(c1ccccc1C(=O)OCCC(C)C),1.07,-48.32972687,220.1463299,0.7524,0.8327,0.8729
C([*])C([*])(c1ccccc1C(=O)OCC(C)C),1.09,-45.16594537,206.1306798,0.7603,0.8346,0.898
C([*])C([*])(c1ccccc1C(=O)OCCCCCC),1.05,-51.49245766,234.1619799,0.7434,0.8067,0.8606
C([*])C([*])(c1ccccc1C(=O)OCC),1.14,-38.83398305,178.0993797,0.7875,0.8668,0.947
C([*])C([*])(c1ccccc1C(=O)N(C)C),1.11,-38.203365,177.1153641,0.753,0.8389,0.9008
C([*])C([*])(c1ccccc1C(=O)OCCCC),1.09,-45.1632904,206.1306798,0.7576,0.8413,0.9025
