SMILES,Tg,density(g/cm3),1E,2E,4E,1iso,2iso,4iso,1w,2w,4w,1V,2V,4V,1D,2D,4D,1HOMO,1LUMO,1gap,2HOMO,2LUMO,2gap,4HOMO,4LUMO,4gap,num
C([*])C([*])(C(=O)Oc1ccc(C(=O)OC)cc1),379,1.25,-45.95561548,-90.92473115,-180.8454024,108.3349043,196.1761808,383.0293792,208.2059,414.396,826.7762,211.376495,398.331146,742.930237,0.9881,1.0404,1.1129,-9.9372847,-0.777394964,9.159889736,-9.754805486,-0.742153732,9.012651754,-9.729997637,-0.918264955,8.811732683,acrylate_033
C([*])C([*])(C(=O)Oc1ccc(OC)cc1),324,1.16,-39.73542159,-78.48075393,-155.958118,96.67148072,175.124898,359.3025891,180.1959,358.3759,714.7361,219.168167,370.531311,693.589233,0.8242,0.9672,1.0305,-8.786353484,-0.01904533,8.767308154,-8.612493109,0.106055316,8.718548426,-8.708359506,0.031554355,8.739913861,acrylate_035
C([*])C([*])(C)(C(=O)OC1CCC(CC1)C(C)(C)C),356,0.99,-51.43302516,-101.8604222,-202.719817,102.3210565,204.0297372,407.1569199,226.3479,450.6799,899.3439,327.389526,606.19458,1131.75708,0.6921,0.7435,0.7947,-10.45290756,0.977790137,11.4306977,-10.28157403,0.942381211,11.22395524,-10.24963554,0.817664739,11.06730028,acrylate_036
C([*])C([*])(C(=O)Oc1ccc(C(C)(C)C)cc1),344,1.08,-45.16846484,-89.34288791,-177.684223,109.0555405,206.1239717,413.7324436,206.2739,410.5319,819.048,264.105927,485.519562,915.608276,0.7825,0.8456,0.8946,-9.17465179,0.086351344,9.261003133,-9.028654244,0.161520624,9.190174868,-8.979494961,-0.053230561,8.9262644,acrylate_037
C([*])C([*])(C(=O)OCCCC),219,1.07,-30.2799508,-59.55967175,-118.1197913,55.82023139,109.9098143,221.5327391,130.182,258.3479,514.6799,185.770554,350.134827,634.419495,0.7027,0.7379,0.8114,-10.80767575,0.899548854,11.70722461,-10.63740842,0.887247048,11.52465546,-10.68086006,0.724980949,11.40584101,acrylate_039
C([*])C([*])(C)(C(=O)OCCCC),293,1.05,-33.44646736,-65.89459922,-130.7734201,62.60844503,123.4254779,246.9370073,144.2079,286.3998,570.7839,216.811874,389.403717,715.237854,0.6668,0.7355,0.7981,-10.64927226,0.925140289,11.57441255,-10.47956166,0.933575907,11.41313757,-10.46615281,0.814908816,11.28106163,acrylate_040
C([*])C([*])(C)(C(=O)OC1CCC1),351,1.09,-32.41094253,-63.82316401,-126.6299025,62.95897102,122.9599412,247.668168,142.192,282.3679,562.7199,207.038864,363.573669,670.667908,0.6868,0.7767,0.8392,-10.69790853,0.853094542,11.55100307,-10.52470539,0.834393303,11.35909869,-10.4739965,0.642588431,11.11658493,acrylate_041
C([*])C([*])(C(=O)OC1CCCCC1),285,1.07,-35.60689671,-70.21346739,-139.4225853,69.35031548,136.8492961,273.5520754,156.2179,310.4199,618.8239,215.508041,396.95282,746.405151,0.7307,0.7821,0.8292,-10.67485967,0.939745085,11.61460476,-10.54434503,0.895706638,11.44005166,-10.45500234,0.740915022,11.19591737,acrylate_042
C([*])C([*])(C)(C(=O)OC1CCCCC1),356,1.05,-38.77348962,-76.5490616,-152.0817803,76.03760145,149.7493814,300.6083446,170.2439,338.4719,674.9279,255.247665,445.222534,818.987854,0.6695,0.7603,0.8242,-10.5625073,0.950635746,11.51314305,-10.4284948,0.938171875,11.36666668,-10.38907018,0.733945948,11.12301613,acrylate_043
C([*])(C)C([*])(C(=O)OC1CCCCCCC1),346,1.01,-45.08519377,-89.17361176,-177.3402042,88.83301574,175.1124833,352.5547746,198.2959,394.5759,787.1359,279.833893,516.5177,968.248047,0.7118,0.764,0.813,-10.63532084,0.99507456,11.6303954,-10.45738329,0.938258819,11.39564211,-10.35197153,0.846825184,11.19879672,acrylate_044
